ds,y
7/1/19,2.01
6/28/19,1.993
6/27/19,2.02
6/26/19,2.021
6/25/19,1.977
6/24/19,1.945
6/21/19,1.958
6/20/19,1.882
6/19/19,1.825
6/18/19,1.799
6/17/19,1.765
6/14/19,1.823
6/13/19,1.801
6/12/19,1.856
6/11/19,1.903
6/10/19,1.891
6/7/19,1.906
6/6/19,1.888
6/5/19,1.856
6/4/19,1.905
6/3/19,1.881
5/31/19,1.917
5/30/19,2.047
5/29/19,2.145
5/28/19,2.166
5/24/19,2.16
5/23/19,2.167
5/22/19,2.244
5/21/19,2.402
5/20/19,2.431
5/17/19,2.446
5/16/19,2.52
5/15/19,2.43
5/14/19,2.397
5/13/19,2.235
5/10/19,2.261
5/9/19,2.367
5/8/19,2.438
5/7/19,2.393
5/6/19,2.322
5/3/19,2.312
5/2/19,2.319
5/1/19,2.301
4/30/19,2.285
4/29/19,2.267
4/26/19,2.208
4/25/19,2.209
4/24/19,2.208
4/23/19,2.229
4/22/19,2.231
4/18/19,2.198
4/17/19,2.191
4/16/19,2.269
4/15/19,2.249
4/12/19,2.254
4/11/19,2.254
4/10/19,2.211
4/9/19,2.184
4/8/19,2.172
4/5/19,2.159
4/4/19,2.127
4/3/19,2.126
4/2/19,2.11
4/1/19,2.092
3/29/19,2.061
3/28/19,2.062
3/27/19,2.095
3/26/19,2.055
3/25/19,2.036
3/22/19,2.017
3/21/19,2.039
3/20/19,2.026
3/19/19,1.995
3/18/19,1.971
3/15/19,1.968
3/14/19,1.976
3/13/19,2.003
3/12/19,1.978
3/11/19,2.022
3/8/19,2.007
3/7/19,2.016
3/6/19,2.011
3/5/19,2.013
3/4/19,2.007
3/1/19,1.997
2/28/19,2.017
2/27/19,1.998
2/26/19,1.978
2/25/19,1.95
2/22/19,2.107
2/21/19,2.11
2/20/19,1.994
2/19/19,1.983
2/18/19,1.969
2/15/19,1.969
2/14/19,1.925
2/13/19,1.89
2/12/19,1.858
2/11/19,1.846
2/8/19,1.871
2/7/19,1.846
2/6/19,1.857
2/5/19,1.838
2/4/19,1.849
2/1/19,1.845
1/31/19,1.813
1/30/19,1.828
1/29/19,1.821
1/28/19,1.754
1/25/19,1.816
1/24/19,1.821
1/23/19,1.823
1/22/19,1.856
1/18/19,1.863
1/17/19,1.818
1/16/19,1.829
1/15/19,1.827
1/14/19,1.811
1/11/19,1.871
1/10/19,1.887
1/9/19,1.888
1/8/19,1.83
1/7/19,1.791
1/4/19,1.786
1/3/19,1.746
1/2/19,1.712
12/28/18,1.656
12/27/18,1.698
12/26/18,1.758
12/21/18,1.741
12/20/18,1.802
12/19/18,1.822
12/18/18,1.8
12/17/18,1.846
12/14/18,1.853
12/13/18,1.898
12/12/18,1.861
12/11/18,1.804
12/10/18,1.79
12/7/18,1.834
12/6/18,1.818
12/5/18,1.841
12/4/18,1.842
12/3/18,1.852
11/30/18,1.786
11/29/18,1.809
11/28/18,1.809
11/27/18,1.855
11/26/18,1.858
11/21/18,1.95
11/20/18,1.982
11/19/18,2.084
11/16/18,2.092
11/15/18,2.088
11/14/18,2.108
11/13/18,2.075
11/12/18,2.173
11/9/18,2.202
11/8/18,2.214
11/7/18,2.284
11/6/18,2.234
11/5/18,2.239
11/2/18,2.221
11/1/18,2.244
10/31/18,2.296
10/30/18,2.31
10/29/18,2.327
10/26/18,2.357
10/25/18,2.316
10/24/18,2.279
10/23/18,2.285
10/22/18,2.363
10/19/18,2.345
10/18/18,2.337
10/17/18,2.353
10/16/18,2.375
10/15/18,2.364
10/12/18,2.365
10/11/18,2.361
10/10/18,2.42
10/9/18,2.454
10/8/18,2.427
10/5/18,2.423
10/4/18,2.434
10/3/18,2.421
10/2/18,2.442
10/1/18,2.444
9/28/18,2.387
9/27/18,2.356
9/26/18,2.348
9/25/18,2.343
9/24/18,2.33
9/21/18,2.265
9/20/18,2.269
9/19/18,2.282
9/18/18,2.272
9/17/18,2.243
9/14/18,2.24
9/13/18,2.267
9/12/18,2.301
9/11/18,2.301
9/10/18,2.264
9/7/18,2.263
9/6/18,2.256
9/5/18,2.282
9/4/18,2.294
8/31/18,2.291
8/30/18,2.306
8/29/18,2.305
8/28/18,2.272
8/27/18,2.273
8/24/18,2.255
8/23/18,2.227
8/22/18,2.221
8/21/18,2.177
8/20/18,2.166
8/17/18,2.146
8/16/18,2.141
8/15/18,2.137
8/14/18,2.174
8/13/18,2.187
8/10/18,2.205
8/9/18,2.172
8/8/18,2.149
8/7/18,2.2
8/6/18,2.189
8/3/18,2.182
8/2/18,2.18
8/1/18,2.151
7/31/18,2.186
7/30/18,2.223
7/27/18,2.211
7/26/18,2.208
7/25/18,2.198
7/24/18,2.178
7/23/18,2.16
7/20/18,2.143
7/19/18,2.128
7/18/18,2.128
7/17/18,2.102
7/16/18,2.095
7/13/18,2.158
7/12/18,2.15
7/11/18,2.145
7/10/18,2.25
7/9/18,2.227
7/6/18,2.2
7/5/18,2.221
7/3/18,2.199
7/2/18,2.177
6/29/18,2.231
6/28/18,2.2
6/27/18,2.198
6/26/18,2.156
6/25/18,2.141
6/22/18,2.15
6/21/18,2.109
6/20/18,2.129
6/19/18,2.183
6/18/18,2.17
6/15/18,2.119
6/14/18,2.199
6/13/18,2.222
6/12/18,2.198
6/11/18,2.199
6/8/18,2.204
6/7/18,2.232
6/6/18,2.187
6/5/18,2.206
6/4/18,2.212
6/1/18,2.244
5/31/18,2.277
5/30/18,2.295
5/29/18,2.25
5/25/18,2.258
5/24/18,2.322
5/23/18,2.342
5/22/18,2.332
5/21/18,2.337
5/18/18,2.332
5/17/18,2.349
5/16/18,2.334
5/15/18,2.311
5/14/18,2.32
5/11/18,2.311
5/10/18,2.311
5/9/18,2.317
5/8/18,2.261
5/7/18,2.266
5/4/18,2.24
5/3/18,2.208
5/2/18,2.202
5/1/18,2.193
4/30/18,2.251
4/27/18,2.214
4/26/18,2.212
4/25/18,2.196
4/24/18,2.195
4/23/18,2.199
4/20/18,2.201
4/19/18,2.195
4/18/18,2.197
4/17/18,2.146
4/16/18,2.158
4/13/18,2.204
4/12/18,2.172
4/11/18,2.172
4/10/18,2.154
4/9/18,2.089
4/6/18,2.04
4/5/18,2.054
4/4/18,2.043
4/3/18,2.083
4/2/18,2.068
3/29/18,2.102
3/28/18,2.098
3/27/18,2.094
3/26/18,2.09
3/23/18,2.097
3/22/18,2.063
3/21/18,2.088
3/20/18,2.01
3/19/18,1.968
3/16/18,1.961
3/15/18,1.945
3/14/18,1.937
3/13/18,1.925
3/12/18,1.913
3/9/18,1.937
3/8/18,1.919
3/7/18,1.926
3/6/18,1.942
3/5/18,1.936
3/2/18,1.924
3/1/18,1.928
2/28/18,1.947
2/27/18,2.015
2/26/18,2.037
2/23/18,2.016
2/22/18,1.991
2/21/18,1.923
2/20/18,1.953
2/16/18,1.922
2/15/18,1.901
2/14/18,1.907
2/13/18,1.858
2/12/18,1.872
2/9/18,1.888
2/8/18,1.926
2/7/18,1.937
2/6/18,2.018
2/5/18,2.052
2/2/18,2.074
2/1/18,2.094
1/31/18,2.074
1/30/18,2.07
1/29/18,2.09
1/26/18,2.12
1/25/18,2.103
1/24/18,2.107
1/23/18,2.092
1/22/18,2.055
1/19/18,2.057
1/18/18,2.027
1/17/18,2.024
1/16/18,2.006
1/12/18,2.039
1/11/18,2.018
1/10/18,2.039
1/9/18,2.029
1/8/18,2.012
1/5/18,2.031
1/4/18,2.057
1/3/18,2.083
1/2/18,2.053
12/29/17,2.061
12/28/17,2.036
12/27/17,2.016
12/26/17,2.03
12/22/17,1.943
12/21/17,1.916
12/20/17,1.914
12/19/17,1.873
12/18/17,1.878
12/15/17,1.865
12/14/17,1.851
12/13/17,1.849
12/12/17,1.902
12/11/17,1.905
12/8/17,1.879
12/7/17,1.845
12/6/17,1.784
12/5/17,1.84
12/4/17,1.822
12/1/17,1.902
11/30/17,1.874
11/29/17,1.902
11/28/17,1.94
11/27/17,1.956
11/24/17,1.961
11/22/17,1.934
11/21/17,1.942
11/20/17,1.941
11/17/17,1.941
11/16/17,1.935
11/15/17,1.964
11/14/17,1.983
11/13/17,2.022
11/10/17,2.043
11/9/17,2.046
11/8/17,2.06
11/7/17,2.074
11/6/17,2.091
11/3/17,2.006
11/2/17,1.959
11/1/17,1.937
10/31/17,1.943
10/30/17,1.95
10/27/17,1.943
10/26/17,1.92
10/25/17,1.889
10/24/17,1.868
10/23/17,1.832
10/20/17,1.85
10/19/17,1.828
10/18/17,1.868
10/17/17,1.873
10/16/17,1.875
10/13/17,1.867
10/12/17,1.837
10/11/17,1.837
10/10/17,1.826
10/9/17,1.788
10/6/17,1.8
10/5/17,1.849
10/4/17,1.844
10/3/17,1.832
10/2/17,1.862
9/29/17,1.921
9/28/17,1.948
9/27/17,1.957
9/26/17,1.962
9/25/17,1.974
9/22/17,1.932
9/21/17,1.917
9/20/17,1.922
9/19/17,1.888
