ABL101 Freq Readback,ABL101 Frequency,ABL101 Setpoint,ABL101_PWR,ABL121 V,AFM101,AFM121,Air Util,Ambient Temperature,AnRecP Setpoint,Avg Stack Ramp Rate,Avg Stack Temp,C1M1V,C1M23V,C1M45V,C1M67V,C1M8V,C2M1V,C2M23V,C2M45V,C2M67V,C2M8V,C3M1V,C3M23V,C3M45V,C3M67V,C3M8V,C4M1V,C4M23V,C4M45V,C4M67V,C4M8V,C5M1V,C5M23V,C5M45V,C5M67V,C5M8V,C6M1V,C6M23V,C6M45V,C6M67V,C6M8V,C7M1V,C7M23V,C7M45V,C7M67V,C7M8V,C8M1V,C8M23V,C8M45V,C8M67V,C8M8V,DCDC_Power,FBL351 Freq Readback,FBL351 Frequency,FBL351 Power,FCV301 Current,FCV301 Temperature,FCV301_RDBK,FCV301_SP,FFM355,Fuel Util,FUTIL Setpoint,LoadHours,Max Stack Temp,Min Stack Temp,NTC204.1,NTC292.1,NTC321,NTC322,NTC323,NTC351,NTC355,NTC370.1,NTC370.5,NTC385.1,NTC385.5,NTC390.1,NTC390.5,NTC500,NTC501,NTC502,NTC610,NTC611,NTC612,NTC613,NTC614,NTC615,NTC620,NTC621,NTC622,NTC623,NTC624,NTC625,NTC630,NTC631,NTC632,NTC633,NTC634,NTC635,NTC640,NTC641,NTC642,NTC643,NTC644,NTC645,NTC650,NTC651,NTC652,NTC653,NTC654,NTC655,NTC660,NTC661,NTC662,NTC663,NTC664,NTC665,NTC670,NTC671,NTC672,NTC673,NTC674,NTC675,NTC680,NTC681,NTC682,NTC683,NTC684,NTC685,PRT101,PRT359,PRT360,PRT501,PRT502,Seg1_I_Setpoint,Seg1_Voltage,Seg1_I,Seg2_I_Setpoint,Seg2_Voltage,Seg2_I,Seg3_I_Setpoint,Seg3_Voltage,Seg3_I,Seg4_I_Setpoint,Seg4_Voltage,Seg4_I,SKE Number,WFM501 Setpoint,WSV502 OpenTime,Code,Time,ds
16954.2,16954.7,4049.4,811.3,0,2475.7,1.5,27.5,26,63,0,812.4,24.6,49,49.2,48.2,23.8,24.6,49.1,49.1,48.8,23.8,24.6,49.2,48.9,48.4,24,24.4,49,48.7,48.7,24,24.3,48.4,49.1,48.4,23.7,24.6,49,49.2,48.5,23.7,24.6,49,49.1,48.1,23.9,24.5,49.1,49.4,48.6,23.9,51.5,14251,14251.5,548.5,91.6,26.4,138.5,138.5,708,84.5,84.5,5201.8,837.6,777.7,773.9,826.5,28.3,29,32.3,124.7,121.8,824.9,834.9,916.1,914.5,873.9,865.3,34.4,27,65.5,835.6,812.8,809.9,828.6,831.6,825.9,830.8,798.8,795.7,808.9,819.3,808.4,837.4,806.2,795,814.8,820.7,819,837.6,796.9,790.2,813.1,820.1,819,1950,792,777.6,814.5,818.4,816.1,824.3,795.3,785.6,807.8,818.9,814.7,831.1,800.5,785.3,811.4,822,813.1,833.6,806.6,785.9,810.1,821.3,821,0.7,1.2,0.7,33.8,1.7,34,389.7,34,34,388.7,34,34,387.8,34,34,389.7,34,12155,0,0,b,32,11/2/17 0:00
19285.5,19285.9,4867,958.1,0,3203.9,1.4,19.2,29.6,65.1,0,803.1,19.8,43.3,43.8,42.8,19.8,21.6,44,44.6,44.5,19.8,18.1,43.4,44.6,63.8,9.9,22.1,43.4,44.4,43.2,9.9,20.3,43.9,43.6,43.8,20.2,21.9,42.8,44.4,44.4,20.2,17.8,42.3,43.9,43.9,18.3,21.5,45.1,45.4,41.8,18.3,38.1,12887.9,12888.5,406.8,90.8,25.8,117.9,117.9,661.1,83.1,83.3,24526.1,847.5,774.5,745.3,817.4,32.4,32.9,38.6,110.3,103,818.6,812.5,877.7,885.3,871.4,849.5,28.6,26.7,69.8,841.2,815.1,802,810.2,818.9,811.4,824.2,795.1,778.5,794.7,807.4,807.4,829.1,791.1,777.6,793.1,810,808.8,811.6,791.1,781.8,798,806.1,807.1,118.4,789.7,782.1,801.2,804.9,804.8,809.7,781.5,774.4,794.9,801.8,801.7,847.5,798,787.7,801.5,813,809.4,828.1,802.2,789.1,802.8,809.1,798.6,0.8,1.1,0.7,35,1.7,28.5,343.7,28.5,28.5,341.4,28.5,28.5,344.7,28.5,28.5,336.9,28.5,11048,0,0,h,151,4/3/19 0:00
14979.7,14980.2,3431.1,497.6,0,2755.4,1.4,25.7,43.6,62,0,811.4,25.4,50.6,50.7,50.9,25.3,25.5,50.9,50.9,51.2,25.3,25.4,50.9,51.2,50.9,25.4,25.5,51.2,51,50.8,25.4,25.4,51.2,51.1,51.1,25.2,25.4,51.3,51.2,51,25.2,25.4,51,136.8,-35.3,25.4,25.3,50.9,51.1,50.9,25.4,42.4,10795.7,10796.2,192.3,115.6,42,108.1,108.1,529.1,86,86,885,838.1,788,770.5,821.3,45.6,45.8,51.5,105.5,95.5,818,814.2,887.8,882.7,874.2,858.2,41.1,42.4,74.9,835.1,822.9,808.3,817.6,819.6,809.5,838.1,818,801.4,812.6,814.1,811,818.5,803.7,789.4,804.6,806.7,804.1,816.4,800,788.6,805.3,807.7,805.6,811.8,795.9,794.3,808.7,814.6,806.6,828.2,815.9,799.5,811.5,814.3,812.2,829.7,820.8,804.7,811.9,816.1,811.4,830.6,814.1,796.8,814,816,810.8,0.5,0.7,0.5,36.4,1.5,27,406.4,27,27,406.8,27,27,407.4,27,27,406.7,27,11000,0,0,g,6,6/22/16 0:00
17330.8,17331.3,4170.7,845.9,0,1602.1,1.4,27.5,23.9,63.3,0,810.9,24.4,48.9,49.2,48.5,24.1,24.2,49,49.4,48.5,24.1,24.1,48.9,48.7,48.7,24,24.3,48.5,48.9,48.9,24,24.3,49.3,49.1,48.7,24,24.4,49.3,48.9,48.7,24,24.2,49,49,48.4,24.1,24.4,48.9,49.2,48.8,24.1,52.8,14730.3,14730.8,549.9,94.9,25.9,143,143,738.7,84.3,84.2,5534.8,837.6,775.2,761.1,824.6,26.6,27.9,34.5,131.3,125.2,823.2,827.4,909.6,915.9,883.5,882.3,22.2,24.6,70.7,833.7,808.9,806.2,828.5,824.1,805.4,824.7,789,787.5,815,816.1,811.8,821.2,791,787.4,811.4,816.4,803.2,830,797.5,787.6,801.2,802.4,775.3,831.3,800.8,795.9,810.9,813.4,809.6,837.7,804.6,797.6,819,828.3,816.5,830.9,805.7,795.9,816.5,827.1,807.2,836,806.9,796.7,816.6,824,819.1,0.7,1.3,0.8,33.4,1.9,35,388.9,35,35,388.3,35,35,389.7,35,35,389.3,35,11753,0,0,f,34,8/18/17 0:00
17893.6,17894.1,4348.2,875.7,0,1916.7,1.4,26.7,17.7,63.7,0,811.7,23.6,46.9,47.4,45.7,23.1,23.3,47.4,48.1,45.8,23.1,23.1,47.4,46.4,46.3,23,23.4,46.9,47.3,46.8,23,23.4,47.9,47.6,46.4,22.9,23.5,48.1,46.9,46.3,22.9,23.1,47.3,47.1,45.6,22.8,23.6,47.3,47.6,46.3,22.8,51.5,15072.7,15073.2,525.5,96.7,19.7,146.1,146.1,767.6,83.6,83.7,10059.1,837.6,772.2,761.3,827.5,21.3,22.5,30.1,130.4,124.4,825,830.1,909.7,917,887.5,886.7,16.4,19,69.8,833.8,812.1,806.3,832.7,829.2,809.9,825.8,787.5,783.8,815.2,816.5,812.4,816.7,788.4,788.5,813.4,817.7,803.3,828.1,792.6,782.2,801.2,802.5,772.2,831.6,801.1,794.9,818.1,820.8,816.5,830.5,796,792.7,823.3,832.4,819.9,832.8,803.9,793.2,821.4,834.2,813,837.7,804.7,794.3,818.5,830,827.6,0.7,1.3,0.8,33.7,2,35.5,372.7,35.5,35.5,372.6,35.5,35.5,374.3,35.5,35.5,372.8,35.5,11753,0,0,f,62,3/2/18 0:00
17631.5,17631.9,4298,960.8,0,3337.6,1.4,26.2,36,63,0,796.8,25,50.3,50.1,50.3,24.7,25,50.1,50.1,50.2,24.7,24.8,49.7,49.7,50.4,24.7,24.6,48.9,49.7,50.3,24.7,24.8,49.5,50.1,50.2,24.7,24.9,49.9,50.2,50.4,24.7,25.1,50.1,50.1,50.2,24.7,25,50.1,50.1,50.2,24.7,53.4,14406.8,14407.4,573.4,95.9,34.9,140.4,140.4,716.2,84.5,84.6,3653.7,838.5,757.7,758.3,811.9,38.1,38.1,43.1,131.8,130.4,808.5,809.2,903.5,908.1,864.2,882.9,35.7,36.1,63.4,835.6,813.7,787.7,797.8,802.2,798.8,838.5,807.7,782.1,781.9,795,789.9,815.2,786.8,769.5,785.2,791.8,786.8,806.3,768.6,757.6,783.1,795,801.6,816,783.4,768.8,791.6,800.2,797,826.5,788.8,772.9,796.9,804.9,806.2,834.2,803.7,781.6,794.7,800.3,802.1,831.8,799.5,777.7,791.2,801.1,798.7,0.7,1.2,0.8,40.9,2,34.5,400.1,34.5,34.5,396.2,34.5,34.5,398.5,34.5,34.5,399.5,34.5,13528,0,0,j,24,10/3/18 0:00
14627.2,14627.5,3321.6,479,14.2,2683.2,1.4,26.4,39,62,0,812.3,25.3,50.5,50.6,50.8,25.2,25.4,50.8,50.8,51,25.2,25.4,50.8,51.1,50.8,25.3,25.4,51,50.8,50.7,25.3,25.3,51,51,51,25.1,25.4,51.2,51,50.9,25.1,25.4,50.9,138.6,-37.3,25.3,25.2,50.8,51,50.8,25.3,42.1,11151.9,11152.3,233.9,115.6,38.2,107.5,107.5,528.4,85.7,85.9,1217.3,837.9,789.7,771.9,820.9,43.8,43.7,49,108.3,97.9,817.9,814,887.5,882.3,873.8,856.8,37.6,38.1,74.6,834.5,822.7,808.8,818.2,820.5,810.4,837.9,818.4,803.1,814.4,815.2,811.9,818.8,804.9,790.4,805.6,807.8,805,815.7,799.5,791.5,808.1,809.5,807.1,812.7,797.5,795.6,810.2,815.7,807.5,827.8,815.7,800.4,812.3,815.4,813.3,829,820.7,806.3,813.8,817.5,812.5,830.3,814.3,797.9,814.7,816.9,811.9,0.5,0.8,0.5,33.1,1.5,26.8,405.4,26.8,26.8,405.8,26.8,26.8,406.5,26.8,26.8,405.7,26.8,11000,0.2,0,g,8,7/6/16 0:00
16182.4,16183.1,3823.8,733.5,0,1648.4,1.4,29.9,26.7,63.3,0,805.5,24.8,49.7,49.8,49.4,24.5,24.6,49.6,49.7,49.6,24.5,24.6,49.5,49.6,49.6,24.4,24.7,49.4,49.5,49.8,24.4,24.6,49.4,49.5,49.6,24.5,24.6,49.5,49.6,49.7,24.5,24.5,49.5,49.8,49.7,24.5,24.6,49.6,49.7,49.5,24.5,53.7,15069.7,15070.2,592.5,92.7,26.6,142.8,142.8,737.4,84.4,84.2,3681.5,838,783,783.1,828.9,31.1,30.8,37.6,140.5,134.6,822.5,821.5,891.9,882.8,868.8,863.3,26.7,27.1,59.9,838,816.8,806.9,820.2,824.2,822.7,824,793,793.4,802.8,810.1,802.9,818.9,793.2,784.6,795.1,802.5,803.4,817.4,788.7,785.7,795.7,801,797.8,812.5,785.1,783.1,797.1,796.5,790.1,817.1,789.6,787.2,797,802.5,805,829,800.9,798.1,811,819.3,808.4,831.5,805.3,795.1,815.7,824.3,824.9,0.6,1.2,0.7,33.7,1.8,35,396,35,35,394.5,35,35,395.2,35,35,395,35,11769,0,0,e,23,6/2/17 0:00
14879.6,14880.1,3400.5,492.7,0,2753.5,1.4,25.9,41.4,62,0,811.1,25.4,50.6,50.7,50.9,25.3,25.4,50.9,50.9,51.2,25.3,25.4,50.8,51.2,50.9,25.3,25.5,51.1,50.9,50.8,25.3,25.4,51.1,51.1,51.1,25.2,25.4,51.3,51.1,51,25.2,25.4,51,137.8,-36.3,25.4,25.3,50.9,51.1,50.9,25.4,42.4,10892.9,10893.4,201.6,115.3,40.1,108.3,108.3,529.9,85.9,86,1051.7,838.2,787.4,770.2,821,43.7,43.9,49.4,105.4,95,817.9,813.8,888.3,882.9,874.4,858,39.3,40.3,73.3,834.7,822.3,807.7,817.2,819.3,809,838.2,818.1,801.5,812.7,813.8,810.5,818.8,803.8,788.7,803.9,806.1,803.6,816.5,799.6,787.9,804.6,807.4,805.5,811.3,795.4,793.9,808.6,814.4,806.4,827.9,815.3,798.8,811,814,812,829.3,820.2,803.9,811.4,815.5,811,830.3,813.4,796.2,813.5,815.6,810.6,0.5,0.7,0.5,36.4,1.5,27,406.2,27,27,406.5,27,27,407.2,27,27,406.5,27,11000,0,0,g,7,6/29/16 0:00
14743.1,14743.7,3351.1,485.4,0,2682.1,1.4,26.3,42.5,62,0,814.5,25.3,50.4,50.5,50.6,25.2,25.3,50.6,50.7,50.8,25.2,25.3,50.6,50.9,50.7,25.2,25.3,50.9,50.7,50.6,25.2,25.3,50.9,50.8,50.8,25.1,25.3,51,50.9,50.8,25.1,25.3,50.7,138.3,-37.4,25.2,25.2,50.6,50.8,50.7,25.2,42.2,12331.9,12332.4,342.4,116.2,41.2,108.1,108.1,529.2,86,86,1382.7,838,794.3,774.8,822.3,44.7,44.9,50.9,123.5,114.6,819.7,815.1,888.4,883.6,874.4,856.8,40.4,41.4,77.2,835.9,823.8,811.9,820.5,823,813.5,838.1,818.1,804.5,816,818.3,815.3,817.5,804,795,811.1,812.2,808.9,814.7,798.7,797.5,813.4,812,809.1,815.7,800.6,798.9,813.4,817.5,808.7,829.3,816.7,803,815,817.8,816,829.7,821.5,809.3,817.2,820.7,815.4,831.5,815.9,800.6,817.2,819.5,815,0.4,0.8,0.6,37,1.6,27,404.3,27,27,404.5,27,27,405.2,27,27,404.3,27,11000,0,0,g,9,7/13/16 0:00
