,y,ds
273270,15.3999996185,17-Oct-2016 14:30:00
273271,15.3000001907,17-Oct-2016 14:45:00
273272,15.5,17-Oct-2016 15:00:00
273273,14.6000003815,17-Oct-2016 15:15:00
273274,14.8000001907,17-Oct-2016 15:30:00
273275,14.6000003815,17-Oct-2016 15:45:00
273276,14.8999996185,17-Oct-2016 16:00:00
273277,14.8000001907,17-Oct-2016 16:15:00
273278,14.5,17-Oct-2016 16:30:00
273279,15.5,17-Oct-2016 16:45:00
273280,13.8999996185,17-Oct-2016 17:00:00
273281,14.6000003815,17-Oct-2016 17:15:00
273282,13.5,17-Oct-2016 17:30:00
273283,13.1999998093,17-Oct-2016 17:45:00
273284,12.8000001907,17-Oct-2016 18:00:00
273285,13.1000003815,17-Oct-2016 18:15:00
273286,12.6000003815,17-Oct-2016 18:30:00
273287,13.3000001907,17-Oct-2016 18:45:00
273288,11.8000001907,17-Oct-2016 19:00:00
273289,11.8999996185,17-Oct-2016 19:15:00
273290,11.6999998093,17-Oct-2016 19:30:00
273291,11.1999998093,17-Oct-2016 19:45:00
273292,8.80000019073,17-Oct-2016 20:00:00
273293,7.80000019073,17-Oct-2016 20:15:00
273294,6.69999980927,17-Oct-2016 20:30:00
273295,7.69999980927,17-Oct-2016 20:45:00
273296,6.5,17-Oct-2016 21:00:00
273297,6.30000019073,17-Oct-2016 21:15:00
273298,5.69999980927,17-Oct-2016 21:30:00
273299,5.69999980927,17-Oct-2016 21:45:00
273300,6.30000019073,17-Oct-2016 22:00:00
273301,6.5,17-Oct-2016 22:15:00
273302,6.69999980927,17-Oct-2016 22:30:00
273303,6.90000009537,17-Oct-2016 22:45:00
273304,6.80000019073,17-Oct-2016 23:00:00
273305,6.40000009537,17-Oct-2016 23:15:00
273306,5.90000009537,17-Oct-2016 23:30:00
273307,6.40000009537,17-Oct-2016 23:45:00
273308,5.59999990463,18-Oct-2016 00:00:00
273309,6.19999980927,18-Oct-2016 00:15:00
273310,6.69999980927,18-Oct-2016 00:30:00
273311,6.69999980927,18-Oct-2016 00:45:00
273312,7.0,18-Oct-2016 01:00:00
273313,6.90000009537,18-Oct-2016 01:15:00
273314,7.09999990463,18-Oct-2016 01:30:00
273315,7.59999990463,18-Oct-2016 01:45:00
273316,6.19999980927,18-Oct-2016 02:00:00
273317,6.09999990463,18-Oct-2016 02:15:00
273318,5.30000019073,18-Oct-2016 02:30:00
273319,5.69999980927,18-Oct-2016 02:45:00
273320,5.30000019073,18-Oct-2016 03:00:00
273321,6.09999990463,18-Oct-2016 03:15:00
