set1,set2,set3,set4,set5,set6,set7,set8,set9,set10
39.4,39.8,0.6,0.8,51,51.3,34.3,34.7,2,1.9
52.8,53.3,0.8,0.9,52.7,52.9,45.2,45.5,21.9,28.8
52.8,53.4,0.8,0.9,54,54.3,44.7,44.8,50.8,50.9
52.8,53.3,0.8,0.9,54,54.3,42.4,41.9,52,52
52.8,53.2,44.7,45.1,54,54.3,42.4,41.9,54.2,54.3
52.7,53.2,53.9,54.3,53.9,54.3,42.4,41.9,54.1,54.2
52.7,53.2,53.8,54.3,53.9,54.2,42.4,41.8,54.1,54.1
52.8,53.3,53.8,54.2,53.6,53.8,42.1,41.5,54.2,54.1
52.8,53.2,53.7,54.2,53.9,54.2,42.2,41.7,54.2,54
52.8,53.2,53.6,54.2,53.9,54.2,42.2,41.7,54.2,53.9
52.8,53.1,53.5,54.2,53.9,54.1,41,40.6,54.1,53.9
52.7,53,53.4,54.2,53.9,54.1,42.2,41.7,54.1,53.8
52.6,52.9,53.2,54.1,53.3,53.6,42.1,41.6,54,53.8
52.6,52.8,53.1,54,53.8,53.9,42.1,41.6,54,53.7
52.5,52.6,53,53.9,53.8,53.8,42.1,41.6,53.9,53.6
52.5,52.6,52.8,53.9,53.7,53.8,42.1,41.5,53.8,53.6
52.5,52.5,52.7,53.8,53.7,53.7,42,41.5,53.5,53.6
52.4,52.5,52.7,53.8,28.8,53.7,43.2,43.3,53.5,53.5
52.4,52.4,52.5,53.8,53.6,53.7,42.7,42.9,53.4,53.5
52.3,52.3,52.4,53.7,53.6,53.6,42,42.1,53.3,53.4
52.3,52.2,52.2,53.7,53.6,53.6,42,42.1,53.3,53.4
52.3,52.2,52.1,53.7,53.8,53.7,42,42.1,53.3,53.4
52.2,52.1,51.9,53.6,53.7,53.6,41.9,42,53.2,53.4
52.2,52.1,51.8,53.6,53.5,53.5,41.9,42,53.2,53.4
52.2,52,51.6,53.5,53.7,53.5,41.9,42,53.2,53.4
52.2,51.9,51.4,53.4,53.7,53.5,41.9,41.9,53.2,53.4
52.1,51.9,51.2,53.4,53.7,48.7,41.9,41.9,53.2,53.4
52.1,51.7,51.1,53.3,53.6,49.2,41.9,41.8,53.1,53.3
52,51.7,50.9,53.3,53.6,53.1,41.9,41.8,53.1,53.4
51.9,51.6,50.8,53.2,53.5,53.1,41.8,41.7,53.1,53.4
51.9,51.6,50.6,53.2,53.5,53,41.8,41.7,53,53.3
51.9,51.5,50.4,53.1,53.5,52.9,41.7,41.6,52.9,53.3
51.8,51.5,50.2,53.1,53.4,52.9,41.7,41.6,52.9,53.3
51.8,51.4,50.1,53,53.4,52.8,41.7,41.6,52.8,53.3
51.8,51.4,49.9,53,53.3,52.8,41.6,41.4,52.8,53.2
51.7,51.3,49.7,53.6,53.3,52.7,41.6,41.4,52.7,53.2
51.7,51.2,49.6,53.5,50,50.7,41.7,41.5,52.7,53.2
51.7,51.2,49.4,53.5,53.3,50.6,41.7,41.5,52.6,53.2
51.5,51,49.3,53.4,53.3,52.8,41.7,34.5,52.6,53.2
51.6,51.1,49.1,53.4,53.2,52.7,41.6,41.3,52.5,53.1
52.6,51,48.9,53.4,53.2,52.6,41.6,41.3,52.5,53.1
53,50.9,48.7,53.3,50,51.5,41.6,41.3,52.4,53.1
52.9,50.8,48.6,53.2,52.8,52.8,41.6,41.3,52.3,53
53.1,50.7,48.4,53.2,52.6,53,41.6,41.3,52.3,53
53.4,50.9,48.2,53.1,52.6,53,41.6,41.2,52.2,53
53.5,51.2,48,53.1,52.7,52.9,41.5,41.1,52.1,53
53.5,51.4,43,53.1,52.9,52.8,41.5,41.1,52.1,52.9
53.4,52.1,28.2,52.4,52.8,52.7,41.4,41.1,52,52.9
52.9,51.4,48.6,53.5,41.7,46.5,41.4,41,52,52.9
53.2,51.4,48.1,53.4,52.7,52.7,41.4,41,51.9,52.8
53.1,51.8,47.8,53.4,52.6,52.5,41.4,41,51.8,52.7
53.1,51.5,43.7,48.8,52.6,52.4,41.4,41,51.7,52.7
53.2,40.9,44.1,49.4,52.5,52.3,41.4,41,51.6,52.6
53.1,53.3,46.9,53,33.4,48.3,41.5,41,51.6,52.5
53.1,53.2,46.6,52.8,47.9,52.1,41.5,41,51.4,52.5
53.1,53,46.2,52.6,53.1,52,41.4,40.9,51.4,52.4
53.1,52.7,45.5,52.4,52.6,51.9,41.4,41,51.4,52.4
53,52.5,45,52.3,53,51.8,41.4,40.9,,
53.6,52.4,44.7,53.2,52.9,51.8,41.4,40.9,,
53.6,52.2,44.4,53.6,52.9,51.6,41.3,40.9,,
53.6,52,46.3,53.5,49.4,51.5,41.3,20.5,,
53.5,51.9,48,53.5,52.5,51.5,41.3,40.8,,
53.5,51.8,47.2,53.4,52.4,51.4,41.3,40.7,,
47.9,46.3,46.8,53.4,52.2,51.3,41.2,40.7,,
53.3,51.4,46.6,53.3,50.6,51.2,41.1,40.6,,
47.3,45.5,46.2,53.2,51.7,51,41.2,40.6,,
53.2,51.1,45.8,52.9,21.3,50.7,41.2,40.6,,
53.1,50.9,45.7,52.9,50.2,50.8,41.1,40.6,,
53.1,50.8,45.5,53.2,50.1,50.6,41.1,40.5,,
53,50.6,45.1,53.2,49.9,50.5,41.1,40.5,,
52.9,50.4,44.8,53.2,49.8,50.4,41.1,40.4,,
53.1,50.3,44.5,53.3,49.7,50.2,41.1,40.4,,
53.3,50.2,44.1,53.2,49.6,50,41,40.4,,
53.5,50.1,43.7,53.1,49.6,49.9,41,40.3,,
46.8,43.8,41.1,53.2,49.5,49.8,41,40.3,,
51.5,48.7,38.5,53.5,49.4,49.6,40.9,40.3,,
51.6,48.6,37.3,53.5,49.3,49.4,40.8,40.2,,
52.6,48.6,38,53.4,49.2,49.1,40.8,40.2,,
52.6,48.4,35.9,53.3,49.2,48.8,40.8,40.1,,
52.8,48.1,34.2,53.2,49.4,48.5,40.8,40.1,,
53.2,48.2,32.4,53.1,49.4,48.2,40.7,40,,
53.2,48.2,31,53.1,49.3,47.7,40.7,40,,
53.2,48,31.4,53,49.1,47.4,40.6,40,,
