Time,ABL101 Freq Readback,ABL101 Frequency,ABL101 Setpoint,ABL101_PWR,ABL121 V,AFM101,AFM121,Air Util,Ambient Temperature,AnRecP Setpoint,Avg Stack Ramp Rate,Avg Stack Temp,C1M1V,C1M23V,C1M45V,C1M67V,C1M8V,C2M1V,C2M23V,C2M45V,C2M67V,C2M8V,C3M1V,C3M23V,C3M45V,C3M67V,C3M8V,C4M1V,C4M23V,C4M45V,C4M67V,C4M8V,C5M1V,C5M23V,C5M45V,C5M67V,C5M8V,C6M1V,C6M23V,C6M45V,C6M67V,C6M8V,C7M1V,C7M23V,C7M45V,C7M67V,C7M8V,C8M1V,C8M23V,C8M45V,C8M67V,C8M8V,DCDC_Power,FBL351 Freq Readback,FBL351 Frequency,FBL351 Power,FCV301 Current,FCV301 Temperature,FCV301_RDBK,FCV301_SP,FFM355,Fuel Util,FUTIL Setpoint,LoadHours,Max Stack Temp,Min Stack Temp,NTC204.1,NTC292.1,NTC321,NTC322,NTC323,NTC351,NTC355,NTC370.1,NTC370.5,NTC385.1,NTC385.5,NTC390.1,NTC390.5,NTC500,NTC501,NTC502,NTC610,NTC611,NTC612,NTC613,NTC614,NTC615,NTC620,NTC621,NTC622,NTC623,NTC624,NTC625,NTC630,NTC631,NTC632,NTC633,NTC634,NTC635,NTC640,NTC641,NTC642,NTC643,NTC644,NTC645,NTC650,NTC651,NTC652,NTC653,NTC654,NTC655,NTC660,NTC661,NTC662,NTC663,NTC664,NTC665,NTC670,NTC671,NTC672,NTC673,NTC674,NTC675,NTC680,NTC681,NTC682,NTC683,NTC684,NTC685,PRT101,PRT359,PRT360,PRT501,PRT502,Seg1 I Setpoint,Seg1 Voltage,Seg1_I,Seg2 I Setpoint,Seg2 Voltage,Seg2_I,Seg3 I Setpoint,Seg3 Voltage,Seg3_I,Seg4 I Setpoint,Seg4 Voltage,Seg4_I,SKE Number,WFM501 Setpoint,WSV502 OpenTime,code
3/30/17 0:00,13208.1,13208.6,2936.6,527.4,308.5,2909.2,4.5,26.9,21.8,65.1,0,792.1,26.1,52.4,52.5,52.4,26,26.1,52.4,52.4,52.4,26,26.2,52.4,52.5,52.4,26,26.1,52.4,52.5,52.3,26,26,52.1,52.4,52.4,25.9,26.1,52.4,52.4,52.4,25.9,26.1,52.3,52.5,52.5,26,26.2,52.3,52.4,52.4,26,39.8,12375.2,12375.4,418.3,91.9,23.3,105.7,105.7,588.2,74.4,80.7,96.7,822.5,762.9,760.5,802.1,60.7,59.8,58.7,113.6,108.9,812,824.1,909.4,912.9,849.8,852.1,29,24.3,57,810.6,791.5,790.5,802.4,799.1,792.7,808.3,786.5,779.8,792.8,796.3,783.6,818.9,794.9,783.1,794.3,795.3,790,808.9,779.8,775.9,790.5,792.7,791.3,1533.2,780.2,769.9,794.2,792.7,788.7,809.3,786.2,776.9,789.9,793,790.5,821.6,795.4,775.3,790.4,791.7,779.2,814.8,794.3,776.1,789.3,791.4,785.6,0.5,0.9,0.6,32.5,2.9,25.8,418.5,25.4,25.8,418,25.4,25.8,417.4,25.4,25.8,418.8,25.5,12155,12.9,0.1,2
4/6/17 0:00,15451.8,15452.6,3592.6,686.4,0,3509.9,1.5,31,25.3,62,0,806.4,25.1,50.5,50.5,50.5,24.9,25.1,50.5,50.5,50.5,24.9,25.2,50.5,50.5,50.5,25,25.2,50.5,50.5,50.3,25,25.1,50.2,50.4,50.4,24.9,25.1,50.5,50.5,50.4,24.9,25.1,50.5,50.6,50.6,25,25.2,50.5,50.4,50.5,25,53.3,13437.1,13437.5,484.3,92.6,26.2,136,136,665.9,86,86,258.8,837.5,778.4,769.4,819.6,28,28.6,32.5,123.8,118.7,819.8,831.7,910.5,909.1,863.6,863.2,33.3,24.9,65,830,808.2,804.8,818.8,818.9,814.1,823.6,797,788.8,804.7,812.2,799.9,831.5,803.2,788.8,804.4,810.1,806.5,825.3,790.5,785.2,804.1,809.9,810.7,1950,793.5,778.5,809.3,810.5,809,824.1,796.7,784,802.1,810.1,810.6,837.6,808.4,782.7,801.6,807.4,795.7,833.8,810.7,786.3,802.6,808.8,804.9,0.6,1.1,0.7,33.5,1.6,34,403,34,34,402.5,34,34,402,34,34,403.2,34,12155,0,0,2
4/13/17 0:00,15387.2,15388,3572.7,679.2,0,3484.3,1.5,31.2,28.1,62,0,806.5,25.2,50.6,50.6,50.5,25,25.2,50.6,50.5,50.5,25,25.3,50.5,50.5,50.5,25,25.2,50.5,50.5,50.4,25,25.1,50.1,50.4,50.4,24.9,25.1,50.5,50.5,50.4,24.9,25.2,50.5,50.6,50.6,25,25.2,50.5,50.5,50.5,25,53.4,13267.9,13268.4,471,92,28.7,136,136,665.7,86.1,86,426.2,837.6,776.2,770.5,820.6,30.4,31,34.9,122.5,117.6,819,828.9,908.5,905.1,865.4,859.3,35.8,28,65.6,831.8,811.7,805,818.8,819.3,813.9,828.4,803.4,787.3,804.8,813.9,802.3,836.9,810.8,788.7,806,813.3,808.9,824.3,791.1,782.3,801.4,808.5,810.4,1950,790,776.3,807.3,809.3,806.8,821.7,795,782.9,801.1,808.7,808.3,837,809.2,782.9,801.4,806.3,794.2,834,811.9,786.9,802.6,808.5,803.9,0.6,1.1,0.7,33.5,1.6,34,403.2,34,34,402.6,34,34,401.8,34,34,403.3,34,12155,0,0,2
4/20/17 0:00,15477.3,15478.1,3601.1,679.6,0,3419.1,1.5,30.9,26,62,0,806.6,25.1,50.5,50.5,50.4,25,25.2,50.6,50.5,50.4,25,25.2,50.5,50.5,50.4,25,25.2,50.4,50.4,50.3,25,25.1,50,50.3,50.4,24.9,25.1,50.5,50.4,50.4,24.9,25.1,50.5,50.6,50.6,25,25.2,50.5,50.4,50.5,25,53.3,13337.2,13337.7,472.5,91.9,26.8,136,136,665.7,86.1,86,593.4,837.6,775.9,771.2,821.3,28.2,28.8,32.8,121,116.3,818.8,828.6,908.1,903.6,866.1,858.8,34.1,25.8,63.7,832.9,813.3,805.3,819.3,820.3,814.7,829.7,804.6,787,804.7,814.4,802.7,837.4,811.4,788,805.9,813.5,809.1,824,791.1,781.8,800.9,808.4,810.3,1950,790,776.2,807.3,809.5,806.6,820.9,794.4,782.5,801.1,808.4,807.8,836.1,808.4,782.3,801,805.9,793.6,833.9,812.6,787.4,803,808.7,803.9,0.6,1.1,0.7,33.6,1.7,34,402.8,34,34,402.3,34,34,401.3,34,34,403,34,12155,0,0,2
4/27/17 0:00,15935.7,15936.3,3741.6,718.5,0,3428.8,1.5,29.8,32.3,62,0,807.1,25.2,50.5,50.5,50.3,24.9,25.2,50.6,50.5,50.4,24.9,25.2,50.5,50.5,50.4,25,25.2,50.4,50.4,50.3,25,25.1,50,50.3,50.3,24.8,25.1,50.4,50.4,50.4,24.8,25.2,50.5,50.5,50.5,25,25.2,50.5,50.4,50.5,25,53.2,13488.8,13489.3,484.6,92,33.8,136.1,136.1,666.1,86,86,760.3,837.5,775.9,770.7,821.1,34.6,35.3,39.2,124.7,120.7,820,828.8,909,903.2,867,859.3,39.2,31.9,70.6,832.2,811.5,805.8,819.8,820.5,815.2,828.6,803.2,789.1,807.1,816.1,804.4,837,810.4,790.1,807.6,814.3,809.5,825.2,791,783.5,802.5,809.4,810.8,1950,789.7,775.9,807.2,809.3,806.5,820.9,793.9,782.8,800.8,808.5,807.9,836.3,808.7,782.9,801.8,807,794.5,835.3,813.2,788,803.6,809.6,804.7,0.6,1.1,0.7,33.7,1.7,34,402.9,34,34,402.3,34,34,401.4,34,34,402.8,34,12155,0,0,2
5/4/17 0:00,15582.4,15583,3631.4,687,0,3330.4,1.5,30.7,25.8,62,0,807.4,25.1,50.5,50.5,50.2,24.9,25.1,50.5,50.4,50.3,24.9,25.2,50.4,50.4,50.3,24.9,25.2,50.4,50.3,50.2,24.9,25,49.9,50.3,50.2,24.8,25.1,50.4,50.3,50.3,24.8,25.1,50.4,50.5,50.4,24.9,25.2,50.4,50.4,50.4,24.9,53.2,13447.6,13448.1,480.4,92,26.7,136.1,136.1,666.1,86,86,927.2,837.5,776.4,772.6,822.3,28.3,28.8,32.7,121.6,116.8,819.3,828.4,907.8,902,867,858.2,33.6,25.3,64,834.2,815.1,806.1,820.5,822.4,816.7,831.1,805.7,788.1,805.5,815.8,804,837.3,811.1,788.9,807.4,815.2,810.3,824.4,791.5,782.8,802.2,809.7,811.5,1950,790.3,776.4,808.1,810.5,807.5,820.2,793.5,782.7,801.4,809.4,808.4,835.1,807.7,782.4,801.9,806.9,794.5,834.1,813.4,788.9,804.3,810.4,806,0.6,1.1,0.7,33.8,1.7,34,402.1,34,34,401.6,34,34,400.5,34,34,402.2,34,12155,0,0,2
5/11/17 0:00,15740.6,15741.4,3679,699.6,0,3342.6,1.5,30.3,28,62,0,808.3,25.2,50.5,50.5,50.2,24.9,25.2,50.5,50.4,50.3,24.9,25.2,50.4,50.4,50.3,24.9,25.2,50.4,50.3,50.2,24.9,25.1,49.9,50.3,50.2,24.8,25.1,50.4,50.3,50.3,24.8,25.1,50.4,50.5,50.4,24.9,25.2,50.4,50.4,50.3,24.9,53.2,13492.3,13492.7,481.8,91.9,28.7,136.1,136.1,666.4,86,86,1093.7,837.6,777,773.5,823,30.3,31,34.6,123.2,118.9,820.2,829,908.9,903,868,859,35.9,28,66.2,835,815.8,807.1,821.4,823.5,817.6,831.1,805.5,789.7,806.7,816.8,805,837.2,810.6,790.2,808.5,815.7,811.2,825.9,792.2,784.4,803.7,811,812.3,1950,791,777.1,808.9,811.2,808,820.7,793.9,783.5,802.2,810,808.9,835.6,808.1,783.2,802.9,807.9,795.3,834.9,814,789.5,805.3,811.7,807.1,0.6,1.1,0.7,33.9,1.7,34,402,34,34,401.5,34,34,400.5,34,34,402.1,34,12155,0,0,2
5/18/17 0:00,16228,16228.7,3827.8,749,0,3400.1,1.5,29.1,31.3,62.8,0,809.6,25.2,50.6,50.6,50.3,24.9,25.2,50.6,50.5,50.4,24.9,25.3,50.6,50.6,50.4,25,25.3,50.5,50.5,50.4,25,25.1,50,50.4,50.3,24.8,25.2,50.5,50.5,50.4,24.8,25.2,50.5,50.6,50.4,25,25.2,50.5,50.5,50.4,25,53.3,14008.5,14009,530.3,91.8,32.6,137.9,137.9,697.7,84.9,84.9,1259.6,837.6,778.7,774.4,825.5,33.6,34.3,38.1,127.5,124.3,822.7,832.7,916.9,911,872.8,864.2,38.6,31.3,70.4,836.5,813.8,809.7,823.8,823.8,818.2,830.4,801,795.3,808.7,816,803.2,837.5,807.7,797.3,811.9,814.8,809.5,832.9,794.4,790,809.2,814.3,812.8,1950,792.1,778.7,810.6,811.7,808.6,823.9,794.9,785.8,803.4,811.3,809.4,836.8,807,785.1,805.1,810.4,797.5,836.6,813.1,787.9,806.7,813.3,808.8,0.6,1.1,0.7,33.5,1.7,34,403,34,34,402.6,34,34,401.5,34,34,403,34,12155,0,0,2
5/25/17 0:00,16403.5,16404.3,3885.2,773.3,0,3375.9,1.5,28.7,29.7,63,0,809.2,25.2,50.6,50.6,50.2,24.9,25.2,50.6,50.5,50.4,24.9,25.3,50.6,50.6,50.3,24.9,25.2,50.5,50.5,50.4,24.9,25.1,50,50.4,50.3,24.8,25.2,50.5,50.5,50.3,24.8,25.2,50.5,50.6,50.4,24.9,25.2,50.5,50.5,50.4,24.9,53.2,14167.7,14168.2,543.4,92,30.9,138.5,138.5,707.9,84.5,84.5,1425.4,837.6,777.9,773.9,825.7,32,32.7,36.6,126.7,123.9,822.8,832.8,918.3,912.7,873.7,864.7,37.2,29.6,69.5,836.5,812.8,809.2,823.8,823.4,817.8,830.7,800.4,794.9,808.3,815.5,802.6,837.6,807.1,796.6,811.4,814.4,808.9,833.6,794.2,789.4,808.7,813.9,812.4,1950,791.4,777.9,810.1,811,808.1,824.1,794.5,785.5,802.8,810.9,808.8,836.3,805.6,784.6,805,810.4,797.4,836.5,812.1,786.7,806,813,808.9,0.6,1.1,0.7,33.8,1.7,34,402.8,34,34,402.5,34,34,401.2,34,34,402.8,34,12155,0,0,2
6/1/17 0:00,16450,16450.8,3899.4,770.5,0,3319,1.5,28.6,31.2,63,0,809.6,25.2,50.5,50.6,50.2,24.8,25.2,50.5,50.5,50.3,24.8,25.3,50.5,50.5,50.3,24.9,25.2,50.4,50.4,50.3,24.9,25.1,49.9,50.4,50.2,24.7,25.2,50.4,50.4,50.3,24.7,25.2,50.5,50.6,50.3,24.9,25.2,50.5,50.5,50.3,24.9,53.2,14188,14188.5,545.4,91.9,32,138.5,138.5,707.8,84.5,84.5,1591.3,837.6,778.2,774.6,825.9,33.5,34.1,37.9,128,125.2,823.3,833.2,917.9,912.6,874,864.7,39,31.6,70.4,836.8,813.2,809.7,824.3,824.2,818.6,830.8,800.4,795.1,808.5,816,803.1,837.6,807.2,796.7,811.8,814.9,809.4,834,794.5,789.8,809.4,814.4,813.1,1950,791.7,778.2,810.7,811.7,808.6,824.1,794.7,785.7,803.3,811.6,809.3,835.9,805.7,785.2,805.7,811.2,798,836.2,812.2,787,806.7,813.8,810.1,0.6,1.2,0.7,33.9,1.7,34,402.4,34,34,402.1,34,34,400.8,34,34,402.5,34,12155,0,0,2
