Time,ABL101 Freq Readback,ABL101 Frequency,ABL101 Setpoint,ABL101_PWR,ABL121 V,AFM101,AFM121,Air Util,Ambient Temperature,AnRecP Setpoint,Avg Stack Ramp Rate,Avg Stack Temp,C1M1V,C1M23V,C1M45V,C1M67V,C1M8V,C2M1V,C2M23V,C2M45V,C2M67V,C2M8V,C3M1V,C3M23V,C3M45V,C3M67V,C3M8V,C4M1V,C4M23V,C4M45V,C4M67V,C4M8V,C5M1V,C5M23V,C5M45V,C5M67V,C5M8V,C6M1V,C6M23V,C6M45V,C6M67V,C6M8V,C7M1V,C7M23V,C7M45V,C7M67V,C7M8V,C8M1V,C8M23V,C8M45V,C8M67V,C8M8V,DCDC_Power,FBL351 Freq Readback,FBL351 Frequency,FBL351 Power,FCV301 Current,FCV301 Temperature,FCV301_RDBK,FCV301_SP,FFM355,Fuel Util,FUTIL Setpoint,LoadHours,Max Stack Temp,Min Stack Temp,NTC204.1,NTC292.1,NTC321,NTC322,NTC323,NTC351,NTC355,NTC370.1,NTC370.5,NTC385.1,NTC385.5,NTC390.1,NTC390.5,NTC500,NTC501,NTC502,NTC610,NTC611,NTC612,NTC613,NTC614,NTC615,NTC620,NTC621,NTC622,NTC623,NTC624,NTC625,NTC630,NTC631,NTC632,NTC633,NTC634,NTC635,NTC640,NTC641,NTC642,NTC643,NTC644,NTC645,NTC650,NTC651,NTC652,NTC653,NTC654,NTC655,NTC660,NTC661,NTC662,NTC663,NTC664,NTC665,NTC670,NTC671,NTC672,NTC673,NTC674,NTC675,NTC680,NTC681,NTC682,NTC683,NTC684,NTC685,PRT101,PRT359,PRT360,PRT501,PRT502,Seg1 I Setpoint,Seg1 Voltage,Seg1_I,Seg2 I Setpoint,Seg2 Voltage,Seg2_I,Seg3 I Setpoint,Seg3 Voltage,Seg3_I,Seg4 I Setpoint,Seg4 Voltage,Seg4_I,SKE Number,WFM501 Setpoint,WSV502 OpenTime
9/25/17 0:00,5815.9,5816.4,773,25,384.4,837.9,5.4,15,30.4,64.9,0.1,724.9,26.2,51.9,52.3,52.5,26.3,26.1,51.9,52.2,52.5,26.3,26.1,51.9,52.2,52.5,26.3,26.1,51.9,52.3,52.5,26.3,26.1,51.9,52.3,52.5,26.3,26.2,51.9,52.3,52.5,26.3,26.1,51.9,52.3,52.4,26.3,26.1,51.8,52.2,52.4,26.3,0.8,8176.9,8177.5,92.8,76.8,32.1,15,15,295.3,39.9,65,53,740.7,701.7,717.5,730.8,75.4,74.9,72.7,86.5,77.3,744.2,740.9,823.1,839.5,791.7,770.6,27.1,28.7,33.8,738.8,732.6,734.6,734.1,717.8,706.2,734.1,728.1,732.1,730.4,719.1,707.1,737.4,729.5,733.1,730.5,718.3,705.8,734,728.6,731.1,729.3,717.9,705.7,737.1,729.3,731.6,728,715,703.6,733.1,726.9,729.5,728.2,715.8,704.7,731.5,727.8,732,730.4,717.7,706.5,734,729.3,732.2,731.2,718.2,705.7,0.1,0.2,0.2,31.3,3.4,2,418.2,0.4,2,417.8,0.3,2,418.4,0.4,2,417.8,0.4,12641,45.4,0.2
10/2/17 0:00,6638.6,6639.3,889.8,30.2,0,963.4,1.5,15,31.3,70,0,816.3,29,57.9,57.8,57.9,29.2,29,58,57.9,57.9,29.2,29,57.9,57.8,57.9,29.2,29.1,58,57.9,58,29.2,29,58,57.9,58,29.2,29.1,58,57.9,57.9,29.2,29,57.9,57.9,57.9,29.2,29,57.9,57.8,57.9,29.2,0.9,8990,8990,99.1,84,32.3,16,16,330.1,40,65,53,833.6,790.4,808.2,823.5,33.2,34.3,38,89,80.6,822.8,818.6,917.8,929.1,883.4,860.4,27.7,29.4,34.5,833.7,827.1,828.7,825.9,806.1,793.5,829,822.2,825.8,821.6,807.6,794.7,832.2,823.7,826.7,821.6,806.8,793.5,828.7,822.6,824.3,820.1,806.2,793.3,830.4,822.5,824.1,818.2,802.5,790.4,827.1,820.2,822.1,818.6,803.6,791.7,825.7,821.6,825.3,821.6,806.2,794.2,828.9,823.7,826,822.7,806.8,793.4,0.1,0.3,0.2,31.5,3,2.5,463.7,0.5,2.5,463.5,0.4,2.5,463.7,0.4,2.5,463.5,0.5,12641,50,0.3
10/9/17 0:00,6628.7,6629.2,884.8,30.3,0,964.7,1.5,15,30.4,70,0,818.7,29.1,58,57.9,58,29.3,29,58,57.9,58.1,29.3,29,58,57.9,58,29.2,29.1,58.1,58,58.1,29.2,29,58,58,58.1,29.3,29.1,58.1,57.9,58,29.3,29.1,58,58,58,29.2,29.1,58,57.9,58,29.2,0.9,8990,8990,99.7,83.1,31.8,16,16,325.5,40,65,53,836.4,792.1,810.8,826.2,32.3,33.4,37.1,88.1,80,824.5,820,922,928.5,883.3,861.5,28.1,30,34.8,836.4,830.1,831.6,828.5,808.5,795.6,831.8,825.2,828.7,824.1,809.8,796.7,834.7,826.5,829.4,823.9,808.9,795.3,831.3,825.4,827.1,822.6,808.2,794.9,832.5,825,826.5,820.5,804.5,792.1,829.4,822.8,824.8,821,805.8,793.7,828,824.3,828,824.1,808.5,796.2,831.1,826.3,828.6,825.2,809,795.3,0.1,0.2,0.2,31.3,4.5,2.5,464.5,0.5,2.5,464.3,0.4,2.5,464.5,0.4,2.5,464.3,0.5,12641,50,0.3
10/16/17 0:00,6646.6,6647.1,890.1,30.9,0,963.2,1.5,15,31.7,70,0,819.5,29.1,58,57.9,58,29.2,29,58,57.9,58,29.2,29,58,57.9,58,29.2,29.1,58,58,58,29.2,29,58,58,58.1,29.3,29.1,58.1,57.9,58,29.3,29.1,58,57.9,58,29.2,29,58,57.9,57.9,29.2,0.9,8990,8990,100.4,83.3,33.3,16,16,321.5,40,65,53,837.4,792.7,811.8,827.2,34.1,35.2,38.9,88.7,80.1,824.8,820.4,924.4,927.4,883.7,861.6,28.9,30.8,35.6,837.4,831,832.5,829.3,809.1,796,832.9,826.2,829.7,825,810.4,797.2,835.4,827.3,830.3,824.6,809.5,795.7,832.2,826.3,828.1,823.4,808.8,795.3,833.2,825.8,827.3,821.2,805,792.5,830,823.6,825.5,821.8,806.4,794.2,828.7,825,828.9,824.7,809,796.6,831.6,827,829.5,825.9,809.5,795.8,0.1,0.2,0.2,31.4,4.5,2.5,464.3,0.5,2.5,464.1,0.4,2.5,464.4,0.5,2.5,464.1,0.5,12641,50,0.3
10/23/17 0:00,14165.8,14166.3,3204.4,599.7,0,3108.3,1.6,28.5,34.2,63.8,0,809.4,25.7,51.4,51.6,51.6,25.6,25.7,51.4,51.5,51.6,25.6,25.7,51.5,51.6,51.6,25.6,25.7,51.3,51.5,51.5,25.6,25.5,51.2,51.5,51.6,25.5,25.7,51.3,51.5,51.6,25.5,25.7,51.3,51.6,51.5,25.6,25.7,51.3,51.6,51.5,25.6,45.1,12377,12377.5,408.8,95.5,35.1,117.3,117.3,623.7,80.1,82.9,118.9,838,783.9,758.7,818.4,37.5,38.6,42.3,125.4,121.2,815.2,810.7,892.9,897.2,878.8,865.9,34,32,63.7,837.2,820.4,806,812,809.2,807.7,837.2,813.6,799.1,803.2,808.7,808.5,837.5,814.1,799.4,804.4,809,806.8,826.7,803.4,792,805.6,810.4,809.1,817.4,796.7,789.1,803.4,808.2,807.2,820.2,794.7,790.9,804.2,809.7,809.5,829.5,812.3,799,806.6,809.7,809.4,828,807.2,795.9,805.1,808,807.5,0.5,0.9,0.6,32.9,2.1,28.9,411.1,28.6,28.9,410.8,28.6,28.9,409.9,28.6,28.9,410.8,28.6,12641,6,0
10/30/17 0:00,15963.5,15963.9,3758.7,751.3,0,3680.8,1.5,30,29.9,63,0,802.8,25.3,50.6,50.7,50.7,25,25.2,50.6,50.6,50.7,25,25.3,50.6,50.7,50.8,25,25.2,50.5,50.6,50.7,25,25.1,50.2,50.5,50.7,25,25.2,50.3,50.6,50.7,25,25.3,50.5,50.7,50.7,25,25.2,50.5,50.7,50.7,25,54.3,13533.8,13534.3,486.5,97.4,30.4,140.6,140.6,719.5,84.5,84.5,285.9,838.2,775.6,743.5,815.4,33.1,34.3,37.9,130.4,127.8,812,807.6,893,902.8,881.9,865.8,30.2,27.5,62.1,836.4,813.8,794.7,803.1,803.5,804.3,838.1,808,787,793.3,802.5,805,838.2,807.7,787.3,794.4,802.7,802.9,824.5,794.1,779.2,797,805.3,806.3,812.9,785.6,775.6,794.8,803.2,804.5,816,783.2,778.4,795.5,804.9,807.3,828.4,806,787.8,798.3,804.7,806.9,824.7,797.3,783.5,796.6,802.9,805.2,0.6,1.1,0.7,32.7,1.9,34.5,403.9,34.5,34.5,403.5,34.5,34.5,402.3,34.5,34.5,403.7,34.5,12641,0,0
11/6/17 0:00,15953.2,15953.7,3755.8,752.9,0,3661.9,1.5,30.1,29.2,63,0,802.3,25.3,50.6,50.7,50.7,25,25.2,50.6,50.6,50.7,25,25.3,50.7,50.7,50.8,25,25.2,50.5,50.6,50.7,25,25.1,50.2,50.5,50.7,25,25.2,50.3,50.6,50.7,25,25.3,50.5,50.7,50.7,25.1,25.2,50.5,50.7,50.7,25.1,54.3,13505.9,13506.4,485.4,97.3,29.6,140.7,140.7,719.6,84.4,84.5,453.9,838.2,775,743,815.3,32.3,33.5,37.2,129.9,127.2,811.5,807,893.6,904,881.9,865.2,29.4,26.7,61,836.6,814.1,794.4,802.4,802.9,803.8,838.1,807.8,786.4,792.8,802.1,804.6,838.1,807.4,786.4,793.7,802,802.1,825,794,779,796.7,805.1,805.7,812.7,785.3,775.1,794.3,802.7,803.8,815.3,782.6,777.8,794.9,804.3,806.7,828,805.5,787,797.7,804,806,824.3,796.7,782.8,795.6,802.1,804.5,0.6,1.1,0.7,32.9,1.9,34.5,404,34.5,34.5,403.6,34.5,34.5,402.2,34.5,34.5,403.7,34.5,12641,0,0
11/13/17 0:00,15977.8,15978.2,3764.7,751.4,0,3628.5,1.5,30,29.4,63,0,802.3,25.3,50.6,50.7,50.7,25,25.2,50.6,50.6,50.7,25,25.3,50.6,50.7,50.8,25,25.2,50.5,50.6,50.7,25,25.1,50.2,50.5,50.7,25,25.2,50.3,50.6,50.7,25,25.3,50.5,50.7,50.7,25,25.2,50.5,50.7,50.6,25,54.2,13502.1,13502.6,484.7,97.4,29.9,140.6,140.6,719.5,84.5,84.5,621,838.2,775.1,743.1,815.2,32.6,33.8,37.5,129.8,127.1,811.4,806.7,894,904.6,881.7,864.7,29.7,26.9,61.2,836.8,814.3,794.5,802.3,802.9,803.8,838.2,807.9,786.3,792.9,802.2,804.8,838.1,807.3,786.3,793.6,801.9,802.1,825.3,794.2,779.1,796.9,805.3,805.8,812.8,785.5,775,794.3,802.8,803.9,815.1,782.4,777.7,795,804.5,807,827.8,805.5,786.9,797.7,804.1,805.7,824.2,796.8,782.7,795.5,802.1,804.5,0.6,1.1,0.7,33.2,1.9,34.5,403.8,34.5,34.5,403.5,34.5,34.5,402.1,34.5,34.5,403.6,34.5,12641,0,0
11/20/17 0:00,16088.5,16089,3800,756.3,0,3586.9,1.5,29.7,31.1,63,0,802.5,25.3,50.5,50.6,50.7,25,25.2,50.6,50.6,50.7,25,25.3,50.6,50.6,50.7,25,25.2,50.5,50.5,50.6,25,25,50.1,50.5,50.7,24.9,25.2,50.2,50.5,50.7,24.9,25.3,50.4,50.7,50.6,25,25.2,50.4,50.6,50.6,25,54.2,13536.4,13536.9,488.8,97.5,31.5,140.5,140.5,719,84.5,84.5,787.9,838.2,775.2,743.2,815.2,34.3,35.4,39.1,131,128.5,811.3,806.5,893.7,904.4,881.1,863.9,31.5,28.5,63.1,836.8,814.6,794.7,802.4,803.3,804.1,838.1,808,786.5,793.1,802.5,805.2,837.9,807.3,786.2,793.8,802.2,802.3,825.6,794.6,779.5,797.2,805.7,806,812.7,785.7,775.2,794.6,803.2,804.2,814.8,782.5,777.8,795.3,804.7,807.3,827.5,805.4,786.8,797.8,804.2,805.6,824.1,797.1,782.8,795.7,802.2,804.8,0.6,1.1,0.7,32.9,1.9,34.5,403.6,34.5,34.5,403.2,34.5,34.5,401.8,34.5,34.5,403.3,34.5,12641,0,0
11/27/17 0:00,15937.2,15937.7,3752.1,742.8,0,3509.6,1.5,30.1,27.5,63,0,802.4,25.3,50.5,50.6,50.7,25,25.2,50.6,50.5,50.6,25,25.3,50.6,50.6,50.7,25,25.2,50.4,50.5,50.6,25,25,50.1,50.4,50.6,24.9,25.2,50.2,50.5,50.6,24.9,25.2,50.4,50.6,50.6,25,25.2,50.4,50.6,50.6,25,54.2,13476.7,13477.2,483.6,97.1,28,140.6,140.6,719.2,84.5,84.5,954.8,838.2,775,743,815.1,30.8,32,35.6,128.6,125.9,811.3,806.3,894.3,904.6,881.2,863.7,27.8,25,59.1,837,815,794.8,802.4,803.1,804,838.2,808,786.3,793,802.4,805.2,837.9,807.2,786,793.5,802,802.1,825.8,794.8,779.4,797.2,805.7,806.1,812.6,785.7,775,794.5,803.1,804.3,814.7,782.3,777.5,795.1,804.6,807.3,827.4,805.3,786.5,797.5,803.9,805,823.9,797.1,782.6,795.2,802,804.5,0.6,1.1,0.7,33,1.9,34.5,403.3,34.5,34.5,403,34.5,34.5,401.6,34.5,34.5,403.1,34.5,12641,0,0
