PADID,Time,ABL101 Freq Readback,ABL101 Frequency,ABL101 Setpoint,ABL101_PWR,ABL121 V,AFM101,AFM121,Air Util,Ambient Temperature,AnRecP Setpoint,Avg Stack Ramp Rate,Avg Stack Temp,C1M1V,C1M23V,C1M45V,C1M67V,C1M8V,C2M1V,C2M23V,C2M45V,C2M67V,C2M8V,C3M1V,C3M23V,C3M45V,C3M67V,C3M8V,C4M1V,C4M23V,C4M45V,C4M67V,C4M8V,C5M1V,C5M23V,C5M45V,C5M67V,C5M8V,C6M1V,C6M23V,C6M45V,C6M67V,C6M8V,C7M1V,C7M23V,C7M45V,C7M67V,C7M8V,C8M1V,C8M23V,C8M45V,C8M67V,C8M8V,DCDC_Power,FBL351 Freq Readback,FBL351 Frequency,FBL351 Power,FCV301 Current,FCV301 Temperature,FCV301_RDBK,FCV301_SP,FFM355,Fuel Util,FUTIL Setpoint,LoadHours,Max Stack Temp,Min Stack Temp,NTC204.1,NTC292.1,NTC321,NTC322,NTC323,NTC351,NTC355,NTC370.1,NTC370.5,NTC385.1,NTC385.5,NTC390.1,NTC390.5,NTC500,NTC501,NTC502,NTC610,NTC611,NTC612,NTC613,NTC614,NTC615,NTC620,NTC621,NTC622,NTC623,NTC624,NTC625,NTC630,NTC631,NTC632,NTC633,NTC634,NTC635,NTC640,NTC641,NTC642,NTC643,NTC644,NTC645,NTC650,NTC651,NTC652,NTC653,NTC654,NTC655,NTC660,NTC661,NTC662,NTC663,NTC664,NTC665,NTC670,NTC671,NTC672,NTC673,NTC674,NTC675,NTC680,NTC681,NTC682,NTC683,NTC684,NTC685,PRT101,PRT359,PRT360,PRT501,PRT502,Seg1 I Setpoint,Seg1 Voltage,Seg1_I,Seg2 I Setpoint,Seg2 Voltage,Seg2_I,Seg3 I Setpoint,Seg3 Voltage,Seg3_I,Seg4 I Setpoint,Seg4 Voltage,Seg4_I,SKE Number,WFM501 Setpoint,WSV502 OpenTime
HDD045.01A,5/18/16 0:00,12517.8,12518.5,2753,409.1,1217.8,2304.7,8.7,25,29.4,62.7,0.1,757.9,24.2,48.1,48.5,48.6,23.9,24.2,48.1,48.6,48.8,23.9,24,47.9,48.7,48.6,24,24.2,48.2,48.6,48.6,24,24.1,48.3,48.7,48.8,23.8,24.2,48.4,48.8,48.7,23.8,24.2,48.3,101,-27.2,24,24,48.2,48.7,48.6,24,34.3,10768.2,10769.4,249.3,109.1,28.3,91.6,91.6,527.5,74.9,81.1,52.4,779.1,731.9,725.2,767.9,145.6,139.9,127.5,105.2,93.2,779.3,778,851.3,851.8,823.7,808.7,27.2,28.9,59.2,778.7,766.5,756.8,764.6,765,754.2,776.4,756.8,746.9,756.9,758.7,755.5,756,743.6,740.4,754.8,754.9,751.2,761.4,747.9,738.6,753.1,754.5,751.6,760.4,745.5,745.2,756.8,761.1,753.4,772.7,761.1,749.5,760.2,761.6,758.7,775.3,766.4,756,763.3,764.1,757.8,773.3,758.9,747.3,761.8,762.3,757.1,0.4,0.7,0.5,29.7,2.1,22,386.8,22.2,[-11059] No Good Data For Calculation,386.3,22.1,22,387.5,22.2,22,386.8,22.1,11000,8.8,0
Unnamed: 2,5/25/16 0:00,15181.4,15181.8,3492.3,555.6,0,2897.2,1.4,27.2,35.1,62,0,812.9,25.2,50.3,50.4,50.5,25,25.2,50.6,50.6,50.7,25,25.1,50.4,50.8,50.5,25.1,25.2,50.7,50.5,50.4,25.1,25.1,50.6,50.7,50.7,24.9,25.2,50.9,50.8,50.6,24.9,25.3,50.7,131,-30.1,25.1,25.1,50.5,50.7,50.5,25.1,45.2,11743.3,11743.8,284,117.3,32.5,116,116,567.6,86.1,86,216.4,838.2,786.6,770.2,823.8,37,37.1,43.1,110.9,100.8,821.7,816.8,891.3,889.3,875.5,859.7,32.7,33.9,69.1,838.1,824.6,810.2,819.8,822.8,812.2,836.5,813.7,799.5,811.1,816.1,814.7,813.9,797.8,793.2,810.1,812.6,810.3,816.7,800.7,786.7,805.3,810.4,810.6,812.9,795.7,793.6,807.7,816.4,810.6,829.7,816.3,798.6,811.7,816.6,815.8,833.8,823.6,805.6,813.5,818.6,814.9,833.7,815.3,797.8,815.9,819,814.6,0.5,0.8,0.6,33.2,1.6,29,403,29,[-11059] No Good Data For Calculation,402.9,29,29,403.7,29,29,403.3,29,11000,0,0
Unnamed: 3,6/1/16 0:00,15399.5,15399.9,3561,565.4,0,2882.4,1.4,26.2,41.8,62,0,812.8,25.2,50.4,50.5,50.6,25.1,25.3,50.7,50.7,50.9,25.1,25.3,50.6,51,50.7,25.2,25.3,50.9,50.7,50.5,25.2,25.2,50.8,50.8,50.8,25,25.3,51,50.9,50.8,25,25.3,50.8,131.2,-30.1,25.2,25.2,50.6,50.8,50.6,25.2,44.7,11405.2,11405.7,254.5,116.4,40,114.4,114.4,559.9,86.1,86,383.9,838.2,787.2,770.4,823.3,43.6,43.8,49.7,109.7,100.7,820.8,816.3,890.3,887.3,875.8,860,39.5,40.9,74.7,837.5,824.6,810.6,819.7,822.5,811.8,836.2,813.9,800.4,812.2,815.8,813.9,815.5,799.4,793.6,810,811.8,809,817.2,801.1,787.2,805.3,809.9,809.4,812.7,795.9,793.7,807.9,815.8,809.7,829.9,816.9,799.3,811.9,816.1,815,833.2,823.6,805.3,813,817.7,813.9,833.3,815,797.5,815.5,818.1,813.4,0.5,0.8,0.5,34.9,1.5,28.6,404.1,28.6,28.3,404.3,28.6,28.6,405,28.6,28.6,404.5,28.6,11000,0,0
Unnamed: 4,6/8/16 0:00,14623.7,14624.3,3317,483.6,0,2727.3,1.4,26.6,37,62,0,812.4,25.3,50.6,50.7,50.8,25.2,25.4,50.9,50.9,51.1,25.2,25.4,50.8,51.2,50.9,25.3,25.4,51.1,50.9,50.8,25.3,25.3,51.1,51,51,25.2,25.4,51.2,51.1,51,25.2,25.4,51,133.3,-31.8,25.3,25.3,50.8,51.1,50.9,25.3,42.4,11052.8,11053.3,222,114.7,35.7,108.3,108.3,530.2,85.9,86,551.2,838.2,788.6,772.2,821.9,39.7,39.7,45.3,105.5,94.8,818.9,815,889.1,886.1,874.6,858.9,35.1,36.2,69.6,835.5,823.5,809.2,818.6,820.7,810.4,838.2,818.5,802.4,813.7,814.9,811.8,818.7,803.8,789.6,805,807.3,805,817.3,800.8,789.1,805.3,808.3,806.4,812.6,796.7,795.3,809.6,815.6,807.8,829.1,816.6,801,812.7,815.7,813.6,830.6,821.7,807.4,815,818.3,812.8,831.7,815.4,798.1,815.1,817.1,812.3,0.5,0.8,0.5,32.3,1.5,27,405.9,27,27,406.3,27,27,406.9,27,27,406.3,27,11000,0,0
Unnamed: 5,6/15/16 0:00,14725.4,14725.8,3351.4,482,0,2722.6,1.4,26.4,40,62,0,812.3,25.4,50.6,50.7,50.8,25.2,25.4,50.9,50.9,51.1,25.2,25.4,50.8,51.2,50.9,25.3,25.4,51.1,50.9,50.8,25.3,25.3,51.1,51.1,51,25.2,25.4,51.2,51.1,51,25.2,25.4,51,135.5,-33.9,25.3,25.3,50.8,51.1,50.9,25.3,42.4,10941,10941.5,199.2,115.7,38.2,108.1,108.1,529.8,86,86,718.1,838.1,789.1,771.8,821.8,42.3,42.5,48.1,106.3,95.5,818.6,814.6,888.5,884.4,874.2,858.6,37.7,38.9,72.3,835.4,823.5,809.6,818.5,820.5,810.2,838,818.3,802.2,813.5,814.9,811.8,818.4,803.8,790.2,805.7,807.7,805.2,816.4,800.2,790,806.3,808.4,806.4,812.4,796.9,795.3,809.7,815.3,807.4,828.7,816.3,800.6,812.5,815.3,813.2,830.1,821.5,806.7,814,817.5,812.4,831.2,815,798,814.9,816.9,812,0.5,0.7,0.5,34.4,1.5,27,406,27,27,406.4,27,27,407,27,27,406.5,27,11000,0,0
Unnamed: 6,6/22/16 0:00,14979.7,14980.2,3431.1,497.6,0,2755.4,1.4,25.7,43.6,62,0,811.4,25.4,50.6,50.7,50.9,25.3,25.5,50.9,50.9,51.2,25.3,25.4,50.9,51.2,50.9,25.4,25.5,51.2,51,50.8,25.4,25.4,51.2,51.1,51.1,25.2,25.4,51.3,51.2,51,25.2,25.4,51,136.8,-35.3,25.4,25.3,50.9,51.1,50.9,25.4,42.4,10795.7,10796.2,192.3,115.6,42,108.1,108.1,529.1,86,86,885,838.1,788,770.5,821.3,45.6,45.8,51.5,105.5,95.5,818,814.2,887.8,882.7,874.2,858.2,41.1,42.4,74.9,835.1,822.9,808.3,817.6,819.6,809.5,838.1,818,801.4,812.6,814.1,811,818.5,803.7,789.4,804.6,806.7,804.1,816.4,800,788.6,805.3,807.7,805.6,811.8,795.9,794.3,808.7,814.6,806.6,828.2,815.9,799.5,811.5,814.3,812.2,829.7,820.8,804.7,811.9,816.1,811.4,830.6,814.1,796.8,814,816,810.8,0.5,0.7,0.5,36.4,1.5,27,406.4,27,27,406.8,27,27,407.4,27,27,406.7,27,11000,0,0
Unnamed: 7,6/29/16 0:00,14879.6,14880.1,3400.5,492.7,0,2753.5,1.4,25.9,41.4,62,0,811.1,25.4,50.6,50.7,50.9,25.3,25.4,50.9,50.9,51.2,25.3,25.4,50.8,51.2,50.9,25.3,25.5,51.1,50.9,50.8,25.3,25.4,51.1,51.1,51.1,25.2,25.4,51.3,51.1,51,25.2,25.4,51,137.8,-36.3,25.4,25.3,50.9,51.1,50.9,25.4,42.4,10892.9,10893.4,201.6,115.3,40.1,108.3,108.3,529.9,85.9,86,1051.7,838.2,787.4,770.2,821,43.7,43.9,49.4,105.4,95,817.9,813.8,888.3,882.9,874.4,858,39.3,40.3,73.3,834.7,822.3,807.7,817.2,819.3,809,838.2,818.1,801.5,812.7,813.8,810.5,818.8,803.8,788.7,803.9,806.1,803.6,816.5,799.6,787.9,804.6,807.4,805.5,811.3,795.4,793.9,808.6,814.4,806.4,827.9,815.3,798.8,811,814,812,829.3,820.2,803.9,811.4,815.5,811,830.3,813.4,796.2,813.5,815.6,810.6,0.5,0.7,0.5,36.4,1.5,27,406.2,27,27,406.5,27,27,407.2,27,27,406.5,27,11000,0,0
Unnamed: 8,7/6/16 0:00,14627.2,14627.5,3321.6,479,14.2,2683.2,1.4,26.4,39,62,0,812.3,25.3,50.5,50.6,50.8,25.2,25.4,50.8,50.8,51,25.2,25.4,50.8,51.1,50.8,25.3,25.4,51,50.8,50.7,25.3,25.3,51,51,51,25.1,25.4,51.2,51,50.9,25.1,25.4,50.9,138.6,-37.3,25.3,25.2,50.8,51,50.8,25.3,42.1,11151.9,11152.3,233.9,115.6,38.2,107.5,107.5,528.4,85.7,85.9,1217.3,837.9,789.7,771.9,820.9,43.8,43.7,49,108.3,97.9,817.9,814,887.5,882.3,873.8,856.8,37.6,38.1,74.6,834.5,822.7,808.8,818.2,820.5,810.4,837.9,818.4,803.1,814.4,815.2,811.9,818.8,804.9,790.4,805.6,807.8,805,815.7,799.5,791.5,808.1,809.5,807.1,812.7,797.5,795.6,810.2,815.7,807.5,827.8,815.7,800.4,812.3,815.4,813.3,829,820.7,806.3,813.8,817.5,812.5,830.3,814.3,797.9,814.7,816.9,811.9,0.5,0.8,0.5,33.1,1.5,26.8,405.4,26.8,26.8,405.8,26.8,26.8,406.5,26.8,26.8,405.7,26.8,11000,0.2,0
Unnamed: 9,7/13/16 0:00,14743.1,14743.7,3351.1,485.4,0,2682.1,1.4,26.3,42.5,62,0,814.5,25.3,50.4,50.5,50.6,25.2,25.3,50.6,50.7,50.8,25.2,25.3,50.6,50.9,50.7,25.2,25.3,50.9,50.7,50.6,25.2,25.3,50.9,50.8,50.8,25.1,25.3,51,50.9,50.8,25.1,25.3,50.7,138.3,-37.4,25.2,25.2,50.6,50.8,50.7,25.2,42.2,12331.9,12332.4,342.4,116.2,41.2,108.1,108.1,529.2,86,86,1382.7,838,794.3,774.8,822.3,44.7,44.9,50.9,123.5,114.6,819.7,815.1,888.4,883.6,874.4,856.8,40.4,41.4,77.2,835.9,823.8,811.9,820.5,823,813.5,838.1,818.1,804.5,816,818.3,815.3,817.5,804,795,811.1,812.2,808.9,814.7,798.7,797.5,813.4,812,809.1,815.7,800.6,798.9,813.4,817.5,808.7,829.3,816.7,803,815,817.8,816,829.7,821.5,809.3,817.2,820.7,815.4,831.5,815.9,800.6,817.2,819.5,815,0.4,0.8,0.6,37,1.6,27,404.3,27,27,404.5,27,27,405.2,27,27,404.3,27,11000,0,0
Unnamed: 10,7/20/16 0:00,14906.8,14907.4,3402.7,488.3,0,2715.5,1.4,25.9,44.4,62,0,814.3,25.3,50.4,50.5,50.6,25.2,25.3,50.7,50.7,50.9,25.2,25.3,50.6,51,50.6,25.2,25.3,50.9,50.7,50.6,25.2,25.3,50.9,50.8,50.8,25.1,25.3,51,50.9,50.8,25.1,25.3,50.8,137.7,-36.7,25.2,25.2,50.6,50.8,50.7,25.2,42.2,12517.5,12518,353.9,116,42.9,108.2,108.2,529.5,85.9,86,1548.6,838.2,796.6,774.7,822.9,46.5,46.7,52.7,126.2,117.5,820.4,815,889.2,884.5,875.2,857.2,42.1,43.1,78.4,836.7,824.2,812.1,820.9,823.1,813.6,838.1,818,804.7,816.5,819.1,815.4,813.5,798.9,799.4,815.3,813.6,807.4,813.2,796.7,797,810.2,809.2,807.3,816.7,801,800.3,815,816.9,806.8,830.3,816.9,802.9,815.6,817.7,815.9,829.8,821.1,808.4,816.3,820,815.1,831.7,815.3,800,816.8,819.3,814.8,0.5,0.8,0.6,38,1.6,27,404.5,27,27,404.6,27,27,405.4,27,27,404.4,27,11000,0,0
